"CG9776",31.932,28.9413,26.4266,33.5487,33.0987,35.0124,29.7575,20.7544,31.0087,19.9953,26.2602,22.0736,24.0287,30.2321,28.6853,30.4773,28.994,32.852,29.0555,31.2335,34.3926,27.2033,29.1897,37.36
"Skp2",4.65794,2.20116,1.94377,2.93559,2.99202,4.96662,4.1284,4.66361,2.65726,3.83537,3.64064,3.93502,4.46045,4.83892,4.00452,3.41019,2.44177,3.73244,2.86134,2.53956,2.03258,3.52543,4.0425,6.61849
"CG14645",0.936161,0,0,0,0,0,0,1.71764,0,0,0,0,0,0,0.629419,0,0,0.728699,0.626201,1.29467,0,0.110877,0,1.02506
"CG1103",10.6913,15.7967,12.3653,12.4018,17.1826,18.7681,13.9938,15.5474,11.9728,18.7192,21.1126,17.2272,7.36632,4.35987,12.1621,7.60728,11.3721,1.51199,15.3266,15.5986,4.43248,3.02215,8.76546,13.7522
"hkb",0.141047,0,0.13686,0.420715,0.372298,0,0.147236,0.135205,0.127547,0,0,0.259855,0.474888,0.345108,0.243884,0.120432,0,0,0,0.125413,0.116952,0.11961,0.231279,0.121032
"CG1090",21.4177,35.1728,29.9645,24.0778,31.1408,24.8281,16.271,20.8844,22.2317,27.2231,32.7488,46.2411,33.6997,31.0909,31.5977,26.6993,25.1809,30.0965,20.8435,30.2294,37.4727,37.7049,35.579,22.4313
"Sfxn1-3",154.114,202.906,164.98,175.763,210.536,189.759,161.785,163.587,216.966,204.347,196.726,207.456,209.672,246.466,239.436,245.599,260.962,237.093,260.101,213.876,272.341,272.391,264.326,218.387
"Cont",70.5159,64.4345,63.9115,69.4773,74.5962,74.5141,66.0445,52.9142,70.4857,58.431,64.3132,61.6397,70.1361,60.1515,73.5358,72.9754,69.5137,74.5711,68.3766,78.2231,62.4005,77.1547,65.5868,73.4174
"tub",63.7653,59.5055,54.4437,56.6575,61.4926,57.181,57.5435,47.9141,59.5416,55.2993,57.2794,58.2346,62.9709,58.8749,61.4638,59.9554,57.6192,62.4593,60.7732,54.5581,56.4092,64.7405,59.1837,59.879
"CG14646",0.0971955,11.6415,0,0,27.4553,6.11795e-06,0,0,12.398,6.59766e-08,4.75684,8.02681,23.8706,28.3438,9.55721,19.8692,25.8182,22.7509,21.7529,23.3372,2.35091,24.9672,22.0398,24.9464
"CG34112",2.0746,1.50958,1.60918,2.31185,2.01767,3.0218,0,1.84148,1.38898,4.832,0.740203,1.10946,2.22238,1.72349,0.580788,2.42921,1.43836,0.23485,0.784197,1.04327,0,1.2052,0.798647,0
"CG9855",43.612,40.5248,41.3218,39.6635,25.4236,37.2281,38.6968,35.9038,34.4858,41.2927,35.4331,38.8741,37.9422,10.3694,26.9802,15.7902,21.0293,16.6727,37.711,22.6097,20.1258,21.5635,8.52856,31.7379
"CG9853",38.5891,32.2497,33.4006,28.9652,46.7057,32.3552,26.5926,19.0922,39.927,28.8636,34.4982,36.4607,48.3052,49.9707,37.5611,46.9488,43.7309,46.9685,47.2553,44.9033,38.4852,47.2499,43.2895,39.7798
"CG14647",45.5355,55.614,40.0758,44.4047,57.5923,52.1485,42.4969,44.7054,55.4178,44.3337,44.5856,44.71,49.3475,41.1615,51.342,50.013,51.9372,54.0608,49.5977,47.0678,42.9482,51.9692,53.355,55.7089
"lost",293.931,266.79,269.724,299.253,250.134,322.719,331.855,271.665,257.742,299.575,327.373,272.773,251.089,232.328,240.604,254.498,233.573,273.738,267.031,289.583,251.375,265.537,234.543,287.321
"CG32944",4.81793,4.42696,3.59976,8.2683,12.7017,3.12444,7.36136,2.30597,5.11029,2.56327,2.25441,8.86346,4.4836,14.7198,5.98913,13.6196,8.84598,7.35212,6.77879,2.84631,9.40549,6.7155,17.5675,7.40545
"CG31528",2.5434,3.81483,2.4679,3.25134,2.07795,2.61887,1.70678,2.61221,2.9571,1.58063,4.18203,4.51842,2.14083,4.88957,4.08366,3.41261,4.0566,2.3123,4.68782,4.52298,3.46464,3.69745,3.12786,2.65016
"srl",8.9472,3.27678,2.97295,0,4.47698,4.70201,9.47167,6.86019,1.51769,1.1444,4.86318,2.31907,3.51339,0.834505,2.16628e-06,0.48411,8.88545,8.54264,6.26732,3.42874,0.183558,2.99571,0.00286035,2.34473
"CG31525",4.39109,1.64004,2.964,3.03716,1.34382,4.21997,2.39153,3.84322,1.72644,0.92282,1.46496,4.22078,2.08908,2.02422,2.64092,2.28218,2.36836,3.40197,0.821067,2.20683,0.791514,1.78091,0.469578,1.80208
"eIF3a",74.8345,74.9161,62.5174,68.8745,87.165,63.7749,53.2672,48.9945,80.986,66.6827,74.7629,88.9828,90.1661,91.3623,86.345,82.9648,85.9351,81.1675,77.8437,85.1621,99.4496,99.9644,94.4372,90.4197
"CG1074",25.7481,25.4493,23.7156,22.8716,27.8292,27.2569,21.1476,23.053,26.0022,22.617,21.5624,30.3401,30.5839,28.1419,29.6054,28.2343,24.7529,25.7296,24.5075,27.4266,28.0688,28.5959,24.539,28.4873
